sdd(mm)	db_x_pos	db_y_pos	sdd_calculated
1.6	499.5091436226982	919.9455067319903	1.62
1.7000000000000002	499.21633551541635	918.8157128822452	1.723419739383183
1.85	499.8214458773984	917.1974599318567	1.8526984933197312
2.0	501.13431478783826	916.3544071404767	2.006622984656393
2.2	502.3570526283374	916.1820412655928	2.193706301923154
2.35	502.04399148755516	916.1416422193073	2.3931139133301818
2.5	501.0183067185768	915.9998323682067	2.459657309281141
2.7	500.2396266536582	916.1005400902395	2.6590649206881687
2.85	499.39395200420137	916.74933341453	2.803130990358989
3.0	498.8267221448153	917.1300502467517	2.980357469782364
3.2	498.31173958244176	916.9218420171595	3.179765081189391
3.35	498.2100732138583	915.9760973576417	3.3238311508602107
3.5	497.4400273302172	915.6654118246106	3.4678972205310306
3.7	497.85288623353307	916.2983357020447	3.7226463736742663
3.85	498.70143863816423	917.1080978575568	3.866712443345086
4.0	499.2287840695751	917.9479117650862	3.9926037570575454
4.2	499.87928279611197	917.9115394680431	4.132663450703073
4.35	500.0344474585193	917.771738943419	4.309889930126448
4.5	500.6198497707332	918.5415573787249	4.453955999797268
4.7	501.12864682346327	918.6709081677502	4.653363611204295
4.85	501.0695016364557	918.0465445437218	4.797429680875116
5.0	501.33926167225195	917.197287402295	4.919314618562282
5.2	501.97550117694396	917.281089732894	5.140903361952963
5.35	502.25669016979464	917.8223455987352	5.3234716760767276
5.5	502.2677990913185	917.4725949375934	5.440014779063504
5.7	502.80816611650175	916.0097306906669	5.661603522454185
5.85	503.498887993753	915.4188235120683	5.855818843684401
6.0	503.9549175824889	915.560708282487	5.988905635586319
6.2	504.63332868379325	915.6052871812828	6.1269621412192
6.35	504.93879167818085	915.9345652305657	6.304188620642574
6.5	505.48068059779314	916.1416735741336	6.42607355832974
6.7	506.11536999996076	917.5790682355486	6.6476623017204215
6.85	506.8904039468466	919.1226993491997	6.824888781143796
7.0	507.62354715090896	920.0076413233996	6.968954850814617
7.2	508.20224766099363	919.260569700223	7.090839788501784
7.35	508.3832072743269	918.006809813948	7.290247399908811
7.5	508.4888767119877	917.4127837952858	7.434313469579632
7.7	507.73801011235986	916.9138364601514	7.633721080986659
7.85	506.5859046154928	916.4147073311632	7.733424886690172
8.0	504.8313637123342	915.778643124328	7.899672088344646
8.15	503.28765314806833	915.5953585311133	8.07689856776802
8.3	501.75139554706146	916.1170166329301	8.22096463743884
