,bs_pos_x,bs_pos_y,pdbs_pos_x,pdbs_pos_y,time
77,1.69999,-13.00026,0.000234,8.219327999999999,Mon Nov 30 13:36:36 2020
78,1.249965,0.00039,0.000234,8.219327999999999,Mon Nov 30 18:40:19 2020
79,1.649935,-13.00026,0.000234,8.219327999999999,Tue Dec  1 12:16:02 2020
80,1.799395,-13.00026,0.000234,8.219327999999999,Fri Dec  4 18:21:05 2020
81,1.79869,-13.00026,0.000234,8.219327999999999,Fri Dec  4 20:53:47 2020
82,1.53925,-13.00026,0.000234,8.069334,Fri Dec 11 13:06:17 2020
83,1.23845,-13.000182,0.000234,9.278568,Fri Oct 22 10:26:46 2021
84,1.89927,-13.000182,0.000234,9.278568,Thu Oct 28 13:39:50 2021
85,1.898565,-13.000182,0.000234,9.278568,Fri Oct 29 20:21:07 2021
86,1.898565,-13.000182,0.000234,9.278568,Fri Oct 29 22:41:58 2021
87,1.7996299999999998,-13.000182,0.000234,8.878584,Tue Nov  2 13:05:33 2021
88,1.89974,-13.000182,0.000234,8.878584,Thu Nov  4 14:07:18 2021
89,1.949325,-13.000182,0.000234,8.378525999999999,Wed Nov 10 11:01:42 2021
90,1.4993,-13.000182,0.000234,8.378525999999999,Mon Nov 15 09:55:37 2021
91,1.99938,-13.000182,0.000234,9.078576,Sat Nov 20 18:15:45 2021
92,1.99938,-10.000146,0.000234,9.278568,Mon Dec 13 16:40:03 2021
93,1.4993,-10.000146,0.000234,9.278568,Tue Jan 25 11:33:10 2022
94,1.898565,-10.000146,0.000234,9.278568,Mon Jan 31 16:23:23 2022
95,2.09855,-10.000146,0.000234,8.678358,Thu Feb 24 11:18:36 2022
96,2.249185,-10.00038,0.000234,8.678358,Thu Mar  3 10:19:28 2022
97,1.89927,-10.00038,0.000234,8.678358,Thu Mar  3 10:46:31 2022
98,1.89927,-10.00038,0.000234,8.678358,Thu Mar  3 10:47:23 2022
99,-204.9999,-10.00038,-198.000192,8.678358,Fri Mar  4 17:26:18 2022
100,-204.9999,-10.00038,-198.50025,8.699807999999999,Mon Mar  7 15:32:41 2022
101,1.699285,-10.00038,0.0,8.699807999999999,Mon Mar  7 16:53:40 2022
102,1.699285,-10.00038,0.000234,8.699807999999999,Mon Mar  7 19:01:19 2022
103,1.699285,-10.00038,0.000234,8.699807999999999,Mon Mar  7 19:01:22 2022
104,-204.9999,-10.00038,-198.500172,8.699807999999999,Mon Mar  7 20:04:20 2022
105,1.79916,-10.00038,0.000234,9.14979,Mon Mar 14 10:15:11 2022
106,1.99938,-10.00038,0.000234,9.14979,Mon Mar 14 11:49:16 2022
107,-204.9999,-10.00038,-198.400098,9.149868,Thu Mar 24 10:32:37 2022
108,1.99938,-10.00038,0.000234,9.149868,Mon Mar 28 12:02:09 2022
109,2.20007,-10.00038,0.000234,9.149868,Mon Mar 28 13:55:08 2022
110,1.64923,-13.00026,0.000234,9.149868,Wed Mar 30 18:12:21 2022
111,2.19913,-13.00026,0.000234,9.149868,Fri May 20 10:51:44 2022
112,2.198425,-13.000182,0.000234,9.149868,Fri May 20 15:54:22 2022
113,2.19772,-13.000182,0.000234,9.149868,Sat May 21 10:23:18 2022
114,2.197015,-13.000182,0.000234,9.149868,Thu May 26 12:35:00 2022
115,-204.9999,-13.000182,-198.200184,8.199672,Fri May 27 15:07:38 2022
116,-204.9999,-13.000182,-198.250182,8.349666,Fri May 27 20:21:22 2022
117,-204.9999,-13.000182,-198.250182,8.349666,Fri May 27 21:04:03 2022
118,1.80104,-13.000182,0.000234,8.349666,Fri May 27 22:57:17 2022
119,1.800335,-13.000182,0.000234,8.349666,Wed Jun  1 11:32:34 2022
120,1.399425,-13.000182,0.000234,8.349666,Tue Jun 21 10:19:50 2022
121,1.399425,-13.000182,0.000234,8.349666,Tue Jun 21 10:20:22 2022
122,0.899345,-13.000182,0.000234,8.349666,Thu Jun 23 10:11:36 2022
123,1.699285,-13.000182,0.000234,8.349666,Thu Jun 23 12:07:21 2022
124,-204.9999,-13.000182,-199.200144,8.349666,Thu Jun 23 17:24:36 2022
125,-204.9999,-13.000182,-198.800238,9.24963,Thu Jun 23 17:46:22 2022
126,-204.9999,-13.000182,-199.00023,8.649654,Thu Jul  7 11:29:48 2022
127,1.90021,-13.000182,0.0,8.649654,Fri Jul  8 20:34:47 2022
128,1.90021,-13.000182,0.0,8.649654,Fri Jul  8 20:34:58 2022
129,1.90021,-13.000182,0.0,8.649654,Fri Jul  8 20:34:59 2022
130,1.899505,-13.000182,0.0,8.649654,Sat Jul  9 02:29:26 2022
131,2.1996,-13.000182,0.0,8.649654,Sat Jul  9 04:50:28 2022
132,2.1996,-13.000182,0.0,8.649654,Sat Jul  9 04:51:04 2022
133,7.199225,-13.000182,0.0,8.649654,Sat Jul  9 05:19:55 2022
134,2.199365,-13.000182,0.0,8.649654,Sat Jul  9 05:32:26 2022
135,2.199365,-13.000182,0.0,8.649654,Sat Jul  9 05:40:53 2022
136,2.19866,-13.000182,0.0,8.649654,Sun Jul 10 19:21:50 2022
